iter	Logloss
0	0.6718417253
1	0.6503723692
2	0.6301486056
3	0.6102890539
4	0.5975136922
5	0.5871319451
6	0.5769791543
7	0.5676570394
8	0.5532715776
9	0.5441493358
10	0.5333175474
11	0.5238736003
12	0.5149532992
13	0.5083643689
14	0.5029338453
15	0.4924179805
16	0.4820586656
17	0.4758015409
18	0.4712481862
19	0.4625369561
20	0.4582515229
21	0.4543733604
22	0.4481723379
23	0.442391473
24	0.4374341959
25	0.4332371222
26	0.4305414613
27	0.4271198217
28	0.4244711354
29	0.4195317031
30	0.415384024
31	0.4101704152
32	0.4073118975
33	0.4052757296
34	0.4027804251
35	0.4010789361
36	0.3966805176
37	0.3950603161
38	0.3911908058
39	0.3883125032
40	0.38707175
41	0.3830459325
42	0.3799148601
43	0.3788975172
44	0.3748440753
45	0.3720806438
46	0.3708345413
47	0.3694967086
48	0.3680647502
49	0.3651203186
50	0.3642935309
51	0.363641225
52	0.3594275697
53	0.3568165307
54	0.3517510899
55	0.350954412
56	0.3500702293
57	0.3489641636
58	0.3452406707
59	0.3441540016
60	0.3419062917
61	0.3382342687
62	0.3356131931
63	0.3349762021
64	0.3330811141
65	0.3308057744
66	0.3289831007
67	0.325613809
68	0.324961205
69	0.3240950479
70	0.3234385153
71	0.3228770737
72	0.322044874
73	0.3206018991
74	0.3202135389
75	0.3197775579
76	0.3182948262
77	0.3169894118
78	0.3162585402
79	0.3152164796
80	0.3148909107
81	0.3122263215
82	0.3115864335
83	0.3102935916
84	0.3089298158
85	0.3074585062
86	0.3056098189
87	0.3042010961
88	0.30256244
89	0.3013616508
90	0.2993617204
91	0.2988052139
92	0.297525539
93	0.2969116638
94	0.2954754399
95	0.2951561211
96	0.2949467011
97	0.2947353826
98	0.2932767377
99	0.2916801201
100	0.290939606
101	0.2907392011
102	0.2896468307
103	0.2881559792
104	0.2869449743
105	0.2856984145
106	0.2833889389
107	0.28219524
108	0.2818697411
109	0.2814512309
110	0.2808737291
111	0.2807094635
112	0.2805813103
113	0.2800934388
114	0.2797971877
115	0.2790275203
116	0.2788782348
117	0.2772881392
118	0.277081393
119	0.2759256423
120	0.2751914002
121	0.2750569677
122	0.2749679543
123	0.2745167851
124	0.2742784773
125	0.2736089204
126	0.272812451
127	0.2727133356
128	0.2718851994
129	0.2709027494
130	0.2699802754
131	0.2691983407
132	0.268620867
133	0.2683447607
134	0.2682216789
135	0.2675737488
136	0.2674385052
137	0.2669562948
138	0.2659762646
139	0.2658267662
140	0.2651753975
141	0.2650430578
142	0.2649479047
143	0.2644456155
144	0.2640866662
145	0.2631109431
146	0.2626969589
147	0.2624572724
148	0.2622884139
149	0.2621480563
150	0.2611555524
151	0.2608747076
152	0.2607134733
153	0.2598620179
154	0.2597426062
155	0.2593797698
156	0.2592660387
157	0.2591871618
158	0.2585467814
159	0.2577840414
160	0.2576263474
161	0.2573947604
162	0.257254521
163	0.2571329897
164	0.2567515282
165	0.2560622467
166	0.255960032
167	0.2558422807
168	0.2555816799
169	0.2543285364
170	0.253998644
171	0.2538730574
172	0.2537865891
173	0.2536867661
174	0.2535258462
175	0.253365968
176	0.2526386342
177	0.2525175947
178	0.2518755097
179	0.2506866374
180	0.2505302672
181	0.2500680827
182	0.2499465573
183	0.2498603377
184	0.2497782916
185	0.2497021724
186	0.2495538106
187	0.2494571721
188	0.2492877422
189	0.2487847101
190	0.2486227704
191	0.248295569
192	0.2481871588
193	0.2480986634
194	0.2471550321
195	0.2469849024
196	0.2464864617
197	0.2459183751
198	0.2452008132
199	0.2445021334
